,OBJECTID,CFID,CF_GROUP,CF_CATEGORY,CF_SUBCATEGORY,CF_NAMEAR,CF_NAMEENG,CF_LONG,CF_LAT,REGIONNAMEAR,REGIONNAMEENG,DISTRICTNAMEAR,DISTRICTNAMEENG,CMNTYNAMEAR,CMNTYNAMEENG,CF_PHONE,CF_EMAIL,CF_FAX,CF_POBOX,LGRPNAME,LGRPINDEX,LAYERNAME,LAYERINDEX,longitude,latitude
229,40706,DED-4304,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم باب المدينة,CITY GATE RESTAURANT,54.37918091,24.51860619,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,الميناء,Harbour,6730755,,6731516,28358,Eating and Drinking,30,Restaurant,32,54.37918091,24.518606190000014
230,40707,DED-4305,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,المطبخ السعودى للمأكولات السعودية,SAUDIAN KITCHEN FOR SAUDI FOOD,54.37391281,24.5129509,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,الميناء,Harbour,6734141,,6418110,29075,Eating and Drinking,30,Restaurant,32,54.37391280999998,24.51295090000002
231,40708,DED-4306,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الظفرة - فرع,AL DHAFRA RESTAURANT - BRANCH,54.3726808,24.51206776,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,الميناء,Harbour,,,,,Eating and Drinking,30,Restaurant,32,54.37268080000001,24.51206775999998
232,40709,DED-4307,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الشليلة,AL SHALILA  RESTAURANT,54.37330437,24.51229286,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,الميناء,Harbour,6732585,,,53821,Eating and Drinking,30,Restaurant,32,54.37330437000003,24.512292860000002
233,40732,DED-4967,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم افغان كباب,AFGHAN KABAB RESTAURANT,55.76911163,24.26658249,العين,Al Ain,هيلي,HILI,ندود جهام,Ndood Jham,,,,,Eating and Drinking,30,Restaurant,32,55.76911163,24.26658249000002
234,40733,DED-4968,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم عاتي العين,ATI AL AIN  RESTAURANT,55.76827621,24.26362801,العين,Al Ain,هيلي,HILI,ندود جهام,Ndood Jham,7622706,AIN95575@abudhabi.net.ae,,20854,Eating and Drinking,30,Restaurant,32,55.76827621000001,24.26362800999999
235,40734,DED-4969,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم جبل مره,JABAL MURRAH RESTAURANT,55.76737976,24.2673893,العين,Al Ain,هيلي,HILI,ندود جهام,Ndood Jham,7623884,,,81708,Eating and Drinking,30,Restaurant,32,55.76737975999998,24.26738929999999
236,40736,DED-4971,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ركن التواصل,RUKIN AL TAWASUL RESTAURANT,55.76751709,24.26494217,العين,Al Ain,هيلي,HILI,ندود جهام,Ndood Jham,7621272,,,69224,Eating and Drinking,30,Restaurant,32,55.76751709000001,24.264942169999983
237,40737,DED-4974,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم كوخ القطارة,RASTURANT HUT QATARA,55.75550079,24.26045704,العين,Al Ain,القطارة,AL QATTARA,حي الند,Hai Al Nad,,,,88064,Eating and Drinking,30,Restaurant,32,55.755500789999985,24.260457040000006
238,40738,DED-3803,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم عصفور الحديقة,GARDEN SPARROWS RESTAURANT,54.40040779,24.44884682,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 28,E28,4480115,,,96261,Eating and Drinking,30,Restaurant,32,54.400407789999974,24.44884682000003
239,40739,DED-3804,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم و مشاوي شاورمينو,SHAWARMINO RESTAURANT & GRILLS,54.40220833,24.44665337,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 28,E28,4486867,,4483002,46363,Eating and Drinking,30,Restaurant,32,54.40220833000001,24.44665336999998
240,40740,DED-3805,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم كوخ البرجر,BURGER HUT RESTAURANT,54.40240479,24.44712257,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 28,E28,,,,,Eating and Drinking,30,Restaurant,32,54.40240478999999,24.447122569999976
241,40752,DED-4319,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ومقهى تشى تشى بولفار - ذ م م,BOULEVARD TCHE TCHE RESTAURANT & CAFE - L L C,54.57416153,24.43893814,أبوظبي,Abu Dhabi,شاطئ الراحة,Shatie Al Raha,شاطئ الراحة غرب 13,RBW13,5566411,,5566408,26544,Eating and Drinking,30,Restaurant,32,54.574161530000026,24.438938140000005
242,40753,DED-4320,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم زاري  ذ م م,ZARI RESTAURANT  LLC,54.57416153,24.43893814,أبوظبي,Abu Dhabi,شاطئ الراحة,Shatie Al Raha,شاطئ الراحة غرب 13,RBW13,6742266,,6411788,37005,Eating and Drinking,30,Restaurant,32,54.574161530000026,24.438938140000005
243,40754,DED-4321,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم دبل هابينيس,DOUBLE HAPPINESS RESTAURANT,54.57418244,24.43894075,أبوظبي,Abu Dhabi,شاطئ الراحة,Shatie Al Raha,شاطئ الراحة غرب 13,RBW13,,,4452075,46376,Eating and Drinking,30,Restaurant,32,54.574182440000016,24.438940749999972
244,40755,DED-4322,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,بيتزا امورى - فرع,PIZZA AMORE - BRANCH,54.57418244,24.43894075,أبوظبي,Abu Dhabi,شاطئ الراحة,Shatie Al Raha,شاطئ الراحة غرب 13,RBW13,5565290,,6450900,33330,Eating and Drinking,30,Restaurant,32,54.574182440000016,24.438940749999972
245,40756,DED-4323,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم حديقة اسيا - فرع,ASIAN GARDEN RESTAURANT - BRANCH,54.57418244,24.43894075,أبوظبي,Abu Dhabi,شاطئ الراحة,Shatie Al Raha,شاطئ الراحة غرب 13,RBW13,,,,,Eating and Drinking,30,Restaurant,32,54.574182440000016,24.438940749999972
246,40758,DED-4336,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم المسلخ,AL MASLEKH RESTAURANT,54.37931442,24.51179314,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 14_1,E14_01,,,,44136,Eating and Drinking,30,Restaurant,32,54.379314420000014,24.51179314000001
247,40759,DED-4337,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم المنى,AL MUNA RESTAURANT,54.38075829,24.51206589,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 14_1,E14_01,,,,,Eating and Drinking,30,Restaurant,32,54.38075829000002,24.512065889999974
248,40760,DED-4338,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم المقاطرة,AL MUQATIRA RESTAURANT,54.37906647,24.51141548,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 14_1,E14_01,6731510,,,40108,Eating and Drinking,30,Restaurant,32,54.37906647,24.511415479999982
249,40766,DED-4703,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الاخوة,AL EKHWA RESTAURANT,55.75752258,24.19088554,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,,,,84751,Eating and Drinking,30,Restaurant,32,55.75752258,24.19088554000001
250,40767,DED-4704,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الضمير ذ.م.م,AL DAHAMEER RESTAURANT L.L.C,55.76127434,24.1950779,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,7220013,,,16389,Eating and Drinking,30,Restaurant,32,55.76127434,24.1950779
251,40768,DED-4705,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الفجر,AL FAJR RESTAURANT,55.75736618,24.19025803,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,7212382,,,64159,Eating and Drinking,30,Restaurant,32,55.75736618000002,24.190258029999995
252,40769,DED-4706,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم عود ميثة,OUD MAITHA RESTURANT,55.7575779,24.19421196,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,7211694,,7219944,15503,Eating and Drinking,30,Restaurant,32,55.7575779,24.19421196000002
253,40770,DED-4707,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم محمد سوكور,MOHAMMED SOKWAR RESTAURANT,55.75842285,24.19474888,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,7211412,,,24150,Eating and Drinking,30,Restaurant,32,55.75842284999999,24.19474888000002
254,40771,DED-4708,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الاعجاب - فرع,AL EJAB RESTAURANT - BRANCH,55.7551384,24.19553471,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,7218944,,,20064,Eating and Drinking,30,Restaurant,32,55.75513840000002,24.195534710000004
255,40772,DED-4709,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ابواحمد,ABU AHMAD RESTAURANT,55.76115608,24.19463158,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,7211126,,,68698,Eating and Drinking,30,Restaurant,32,55.76115607999998,24.19463158000002
256,40773,DED-4710,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم فخر بنجاب,FAKHR PANJAB RESTAURANT,55.75882912,24.19305801,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,7223907,,7211982,96650,Eating and Drinking,30,Restaurant,32,55.75882911999997,24.193058010000016
257,40774,DED-4711,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم مدينة البركة,MADINAT ALBARAKA RESTAURANT,55.7551384,24.19553471,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,37212776,,,83194,Eating and Drinking,30,Restaurant,32,55.75513840000002,24.195534710000004
258,40775,DED-4975,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ومشاوي النور,AL NOOR RESTAURANT & GRILLS,55.75325012,24.24497032,العين,Al Ain,الجيمي,AL JIMI,سليمي,Slemi,7630690,,7629282,18381,Eating and Drinking,30,Restaurant,32,55.75325012000002,24.244970319999993
259,40776,DED-4976,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الناعوره,AL NAOORA RESTAURANT,55.75325012,24.24497032,العين,Al Ain,الجيمي,AL JIMI,سليمي,Slemi,,,,66892,Eating and Drinking,30,Restaurant,32,55.75325012000002,24.244970319999993
260,40777,DED-4977,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ابراهيم,IBRAHIM RESTAURANT,55.74581528,24.24595642,العين,Al Ain,الجيمي,AL JIMI,سليمي,Slemi,7632621,,,14248,Eating and Drinking,30,Restaurant,32,55.74581527999999,24.245956420000027
261,40778,DED-4978,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم جبل القدس - ذ م م,JABAL AL QUDUS RESTAURANT -  L L C,55.74570465,24.24202728,العين,Al Ain,الجيمي,AL JIMI,سليمي,Slemi,7633326,,,16229,Eating and Drinking,30,Restaurant,32,55.74570464999999,24.242027280000002
262,40779,DED-4979,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم وكافتيريا ملابار,MALABAR RESTAURANT & CAFETERIA,55.74570465,24.24202728,العين,Al Ain,الجيمي,AL JIMI,سليمي,Slemi,,,,14800,Eating and Drinking,30,Restaurant,32,55.74570464999999,24.242027280000002
263,40783,DED-4984,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم القوع الشعبي,AL QOUA TRADETIONAL RESTAURANT,55.4246521,23.39872742,العين,Al Ain,القوع,AL QUA'A,محاوي,Mahawi,7356890,,,69333,Eating and Drinking,30,Restaurant,32,55.4246521,23.39872742
264,40784,DED-4985,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الدرعي,AL DAREI RESTAURANT,55.42094231,23.39418793,العين,Al Ain,القوع,AL QUA'A,محاوي,Mahawi,7356179,,,88485,Eating and Drinking,30,Restaurant,32,55.42094230999999,23.394187929999987
265,40785,DED-4986,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم محمد سالم الدرعي,MOHD SALEM AL DEREI RESTAURANT,55.42026711,23.39339447,العين,Al Ain,القوع,AL QUA'A,محاوي,Mahawi,7357286,,,21862,Eating and Drinking,30,Restaurant,32,55.42026711,23.393394469999976
266,40787,DED-4989,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم رحال,RAHAL RESTAURANT,55.41953278,23.39414215,العين,Al Ain,القوع,AL QUA'A,القوع 1,Al Quaa 1,7356379,,,15708,Eating and Drinking,30,Restaurant,32,55.41953278,23.394142149999993
267,40792,DED-3847,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الشاطئ الملكى,ROYAL  BEACH REFRESHMENTS,54.36115481,24.49009743,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 6,E6,6264656,beach@abudhabi.net.ae,,30080,Eating and Drinking,30,Restaurant,32,54.361154810000016,24.49009742999999
268,40793,DED-3848,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم وكافتيريا الروشة,ALRAOUSHA RESTAURANT & CAFETERIA,54.36122513,24.49086952,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 6,E6,6270808,,,46648,Eating and Drinking,30,Restaurant,32,54.36122512999998,24.49086951999999
269,40794,DED-3849,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,الشركة الاهلية للاغذية ذ م م,AL AHLIA FOOD COMPANY W L L,54.36013603,24.48801613,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 6,E6,6261177,ahliamed@emirates.net.ae,6267828,2419,Eating and Drinking,30,Restaurant,32,54.36013602999998,24.488016130000005
270,40795,DED-3850,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الخشب الجنوبى ذ.م.م,SOUTHERN  WOOD  RESTAURANT LLC,54.35990611,24.48948689,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 6,E6,,,,,Eating and Drinking,30,Restaurant,32,54.35990611,24.489486890000023
271,40796,DED-3851,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم طربوش,TARBOUCHE RESTAURANT,54.36099052,24.48861885,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 6,E6,6260700,Tarbouche_awtar@yahoo.com,6743577,4832,Eating and Drinking,30,Restaurant,32,54.36099051999997,24.488618850000023
272,40797,DED-3853,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الخضراء شاردا - ذ م م,SHARADA VEGETARIAN RESTAURANT - LLC,54.3600776,24.48928868,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 6,E6,6273825,jalvas@emirates.net.ae,6585834,46780,Eating and Drinking,30,Restaurant,32,54.36007760000001,24.489288680000016
273,40798,DED-3854,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الشراع الذهبى للمإكولات البحريه,GOLDEN SAIL SEA FOOD RESTAURANT,54.36041832,24.49084854,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 6,E6,6277204,,,41230,Eating and Drinking,30,Restaurant,32,54.36041832000001,24.49084854
274,40808,DED-4351,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم واحة الظاهر,WAHAT AL DHAHER RESTUARANT,55.83415985,24.07927322,العين,Al Ain,الظاهر,AL DHAHER,الظاهر 1,Dhaher 1,7821730,,,80288,Eating and Drinking,30,Restaurant,32,55.83415984999999,24.079273220000005
275,40810,DED-4354,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الرحال المحترف  ذ.م.م,AL RAHAL AL MUHTAREF RESTAURANT L.L.C.,55.82833099,24.110568999999998,العين,Al Ain,الظاهر,AL DHAHER,الظاهر 3,Dhaher 3,,,,89104,Eating and Drinking,30,Restaurant,32,55.828330989999984,24.110568999999998
276,40812,DED-4712,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ريم الخليج,REEM AL KHALEEJ RESTAURANT,55.7551384,24.19553471,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,37219366,,,64743,Eating and Drinking,30,Restaurant,32,55.75513840000002,24.195534710000004
277,40813,DED-4713,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم هلال احمد,HELAL AHMED RESTARANT,55.75774384,24.190485,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,7216762,,,85297,Eating and Drinking,30,Restaurant,32,55.75774383999999,24.190485000000024
278,40814,DED-4714,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الصقر الابيض ذ.م.م,WHITE FALCON RESTAURANT L.L.C.,55.75586319,24.19441319,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,,,,19322,Eating and Drinking,30,Restaurant,32,55.755863190000014,24.194413189999977
279,40815,DED-4715,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم بوابة دمشق ذ م م,BAWABT DAMASCUS RESTAURANT L L C,55.75993347,24.19109154,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,,,,68044,Eating and Drinking,30,Restaurant,32,55.75993347000002,24.191091540000002
280,40816,DED-4716,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم وصايا,WASAYA RESTAURANT,55.75272751,24.19245434,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,,,,,Eating and Drinking,30,Restaurant,32,55.75272751,24.192454339999983
281,40817,DED-4717,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطبخ اليحر الحديث - فرع,AL YAHAR MODERN KITCHEN  - BRANCH,55.75272751,24.19245434,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,,erfan_karamah@hotmail.com,,15912,Eating and Drinking,30,Restaurant,32,55.75272751,24.192454339999983
282,40818,DED-4718,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم سيد محفوظ,SYED MAHFUZUL RESTAURANT,55.75833893,24.18965149,العين,Al Ain,المنطقة الصناعية,SANAIYA,بطحاء الحائر,Batha Al Hayer,,,,67039,Eating and Drinking,30,Restaurant,32,55.75833892999998,24.189651490000017
283,40823,DED-4723,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الجبل الاخضر,AL JEBEL AL AKHDHAR RESTAURANT,55.76509857,24.195466999999997,العين,Al Ain,المنطقة الصناعية,SANAIYA,الصفرة,Al Safrah,7219913,,,68794,Eating and Drinking,30,Restaurant,32,55.76509857000002,24.195467000000008
284,40824,DED-4724,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم وحلويات ابوخالد,ABU KHALED RESTAURANT & CONFECTIONERIES,55.7648201,24.19243813,العين,Al Ain,المنطقة الصناعية,SANAIYA,الصفرة,Al Safrah,7644826,,,23013,Eating and Drinking,30,Restaurant,32,55.76482010000001,24.192438130000028
285,40825,DED-4990,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم نعيم,NAEEM RESTAURANT,55.41993523,23.39463425,العين,Al Ain,القوع,AL QUA'A,القوع 1,Al Quaa 1,7356256,,,80121,Eating and Drinking,30,Restaurant,32,55.41993523000002,23.394634250000024
286,40829,DED-5388,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ياسين الحديث,YASIN MODERN RESTAURANT,54.40145874,24.43638992,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 52,W52,4473577,,4473577,96117,Eating and Drinking,30,Restaurant,32,54.40145874000001,24.43638992000001
287,40831,DED-5404,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ام درمان,OMDURMAN RESTAURANT,54.42545509,24.42813492,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 31,W31,4448020,,,129171,Eating and Drinking,30,Restaurant,32,54.425455090000014,24.42813491999999
288,40832,DED-5405,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الممتاز,AL MUMTAZ RESTAURANT,54.42545509,24.42813492,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,غرب 31,W31,4447952,,,3998,Eating and Drinking,30,Restaurant,32,54.425455090000014,24.42813491999999
289,40837,DED-3855,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم قصر الطعام,FOOD PALACE RESTAURANT,54.36006355,24.49000549,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 6,E6,6270080,foodpalaceuae@yahoo.com,6269861,105912,Eating and Drinking,30,Restaurant,32,54.36006355000001,24.490005489999987
290,40838,DED-3856,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم بافانا - فرع,BHAVANA RESTAURANT - BRANCH,54.36100578,24.48933601,أبوظبي,Abu Dhabi,جزيرة أبوظبى,Abu Dhabi Island,شرق 6,E6,6266568,,,6376,Eating and Drinking,30,Restaurant,32,54.36100578000003,24.489336009999988
291,40840,DED-3892,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم زنجر هات - ذ.م.م,ZINGER HUT RESTAURANT - LLC,54.6756916,24.647583009999998,أبوظبي,Abu Dhabi,الصدر,Al Sader,الشاطئ الجديدة,Al Shatie Al Jadeedah,5638823,zingerhot@gmail.com,,78659,Eating and Drinking,30,Restaurant,32,54.67569159999999,24.647583010000005
292,40853,DED-4360,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم تيستي بيتزا للوجبات السريعة,TASTEY PIZZA FAST FOOD RESTAURANT,55.86777115,24.07903481,العين,Al Ain,الظاهر,AL DHAHER,الظاهر 9,Dhaher 9,,,,,Eating and Drinking,30,Restaurant,32,55.86777115000001,24.079034809999996
293,40857,DED-4364,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم مجيب,MUJEEB RESTAURANT,55.84479141,24.03654766,العين,Al Ain,مزيد,MEZYAD,مزيد 2,Meyzad 2,7821589,,,80107,Eating and Drinking,30,Restaurant,32,55.84479141000003,24.036547659999997
294,40858,DED-4365,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الشعاع الجديد,NEW ALSHUAA RESTAURANT,55.84486771,24.03625393,العين,Al Ain,مزيد,MEZYAD,مزيد 2,Meyzad 2,7821544,,7822326,20261,Eating and Drinking,30,Restaurant,32,55.84486771000002,24.036253929999987
295,40860,DED-4370,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم سعيد محمد صالح,SAEED MOHAMMAD SALEH RESTAURANT,55.69199371,24.14770126,العين,Al Ain,زاخر,ZAKHIR,رملة زاخر,Ramlat Zakher,7828684,,,97136,Eating and Drinking,30,Restaurant,32,55.69199371000002,24.14770126000002
296,40861,DED-4371,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ابوغمران,ABU GHAMRAN RESTAURANT,55.92531395,24.15822792,العين,Al Ain,ملاقط,MALAGIT,ملاقط,Malagit,7300168,,,83282,Eating and Drinking,30,Restaurant,32,55.925313949999975,24.15822792
297,40862,DED-4725,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم معين الحديث,MOEEN MODERN RESTAURANT,55.76309967,24.19139481,العين,Al Ain,المنطقة الصناعية,SANAIYA,الصفرة,Al Safrah,7220356,,,20175,Eating and Drinking,30,Restaurant,32,55.763099669999974,24.19139481000002
298,40863,DED-4726,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم ابوسميرة,ABU SAMEERA RESTAURANT,55.76484299,24.19220352,العين,Al Ain,المنطقة الصناعية,SANAIYA,الصفرة,Al Safrah,7219488,,,69194,Eating and Drinking,30,Restaurant,32,55.76484298999998,24.19220352000002
299,40864,DED-4727,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الاعجاب,AL EJAB RESTAURANT,55.76328468,24.19190788,العين,Al Ain,المنطقة الصناعية,SANAIYA,الصفرة,Al Safrah,37210720,,,20064,Eating and Drinking,30,Restaurant,32,55.76328468000003,24.191907879999974
300,40865,DED-4728,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم احمد على,AHMAD ALI RESTAURANT,55.76323891,24.19578171,العين,Al Ain,المنطقة الصناعية,SANAIYA,الصفرة,Al Safrah,7213068,,,66305,Eating and Drinking,30,Restaurant,32,55.763238909999984,24.195781710000006
301,40866,DED-4729,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الامير,AL AMIR RESTAURANT,55.76397896,24.19079781,العين,Al Ain,المنطقة الصناعية,SANAIYA,الصفرة,Al Safrah,7213621,,,82874,Eating and Drinking,30,Restaurant,32,55.763978959999974,24.190797809999992
302,40867,DED-4730,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الصناعية الممتاز,AL  SANAIYA AL MUMTAZ RESTAURANT,55.76573944,24.19481468,العين,Al Ain,المنطقة الصناعية,SANAIYA,الصفرة,Al Safrah,,,,63959,Eating and Drinking,30,Restaurant,32,55.765739440000004,24.19481467999998
303,40868,DED-4731,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الدهر,AL DAHR RESTAURANT,55.76298141,24.1940155,العين,Al Ain,المنطقة الصناعية,SANAIYA,الصفرة,Al Safrah,7210679,,,87803,Eating and Drinking,30,Restaurant,32,55.76298141000001,24.194015499999978
304,40869,DED-4732,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم الفاتح,AL FATEH RESTAURANT,55.7646637,24.19417667,العين,Al Ain,المنطقة الصناعية,SANAIYA,الصفرة,Al Safrah,,,,81753,Eating and Drinking,30,Restaurant,32,55.76466370000003,24.19417666999999
305,40870,DED-4733,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم عبدالعزيز - فرع,ABDULAZIZ RESTAURANT - BRANCH,55.76294327,24.18965626,العين,Al Ain,المنطقة الصناعية,SANAIYA,الصفرة,Al Safrah,7211601,,,16935,Eating and Drinking,30,Restaurant,32,55.762943269999994,24.189656259999992
306,40871,DED-4734,"Accommodation, Eating & Drinking",Eating & Drinking,Restaurant,مطعم عبدالعزيز,ABDULAZIZ RESTAURANT,55.76452446,24.19545937,العين,Al Ain,المنطقة الصناعية,SANAIYA,الصفرة,Al Safrah,7211225,,,19635,Eating and Drinking,30,Restaurant,32,55.76452446000002,24.19545936999998
