,OBJECTID,NAME_ARA,NAME_ENG,LONGITUDE,LATITUDE,LICENSENUMBER,LICENSETYPENAMEEN,LEGALTYPENAMEAR,LEGALTYPENAMEEN,RENEWALDATE,ISSUEDATE,EXPIRYDATE,PHONE_NO,FAX_NO,MOBILENUM,URL,EMAIL,ADDRLINE1,POBOX,REGION_ARA,REGION_ENG,longitude,latitude
68,69,فندق ليوا,Liwa Hotel,54.365953,24.480269,TL07072,Hotel,مؤسسة فردية,Sole Proprietorship,9-Mar-13,36914.0,41706.0,97128822000.0,97128822831.0,502044902.0,,es@liwahotel.net,مدينة ليوا - المنطقه الغربيه - بناية الفندق,6450,المنطقة الغربية,Western Region,54.3662109375,24.48040771484375
69,70,ليوا اكزكتيف سويتس,LIWA EXECUTIVE SUITES ,54.372991999999996,24.503458,TL10496,Hotel,مؤسسة فردية,Sole Proprietorship,3-Oct-12,40454.0,41549.0,97126443344.0,97126445757.0,971506141597.0,,a.hamed@coral-liwasuites.com,ابوظبي - النادي السياحي - بناية السيد عبدالله ناصر حويليل المنصوري ,52920,أبوظبي,Abu Dhabi,54.37322998046875,24.50360107421875
70,71,فندق تلال ليوا ,TILAL LIWA HOTEL ,53.471331,23.322392,TL09715,Hotel,مؤسسة فردية,Sole Proprietorship,22-Dec-12,40169.0,41629.0,97128946111.0,97128946112.0,506749435.0,,pro.tilalliwa@gmail.com,ابوظبي - المدينة الغربية - مدينة زايد بناية فندق تلال ليوا ,112723,أبوظبي,Abu Dhabi,53.471435546875,23.3226318359375
71,72,فندق ياس فايسروي ذ.م.م,YAS VICEROY HOTEL L.L.C,54.60516548,24.46701622,TL09626,Hotel,شركة ذات مسؤولية محدودة,Limited Liability Company (L.L.C.),26-Oct-12,40112.0,41572.0,97126560000.0,97126560001.0,504379019.0,,oliver.bruns@viceroyhotelandresorts.com,ابوظبي - جزيرة ياس - بناية فندق ياس,131808,أبوظبي,Abu Dhabi,54.60540771484375,24.46722412109375
72,73,منتجع جزر الصحراء وسبا,DESERT ISLAND RESORT AND SPA,54.43703079,24.42873764,TL08513,Hotel,مؤسسة فردية,Sole Proprietorship,16-Nov-12,39768.0,41593.0,97128015400.0,97128015404.0,566876077.0,,sphillips@minornet.com,ابوظبي - جزيرة صير بني ياس,12452,أبوظبي,Abu Dhabi,54.43719482421875,24.4288330078125
73,74,فندق تريانون,TRIANON HOTEL,54.32932281,24.45793533,TL09536,Hotel,مؤسسة فردية,Sole Proprietorship,27-Sep-12,40083.0,41481.0,97126575000.0,97126575111.0,971555828513.0,,info@trianon-hotel.com,ابوظبي - شارع النجده - بناية خلفان سالم السويدي,112881,أبوظبي,Abu Dhabi,54.32940673828125,24.4580078125
74,75,فندق وشاليهات مركز تسوق شاطئ الراحة ,Hotel and Chalets of Al Raha Beach Shopping Centre ,54.57235146,24.43859673,TL08019,Hotel,مؤسسة فردية,Sole Proprietorship,4-May-13,38054.0,41762.0,97125080450.0,9715080459.0,507423545.0,,abdelhai.Ahmed@danathotels.com,ابوظبي - بناية فندق شاطى الراحة,38616,أبوظبي,Abu Dhabi,54.5723876953125,24.43878173828125
75,76,شاليهات مبزرة الخضراء ,Greeen Mubazzarah Chalets,54.43485451,24.41862297,TL09211,Hotel,مؤسسة فردية,Sole Proprietorship,21-Jun-09,39985.0,40349.0,97137839555.0,97137839300.0,,,easallam@gmcalain.ae,العين - المبزرة ,67252,العين,Al-Ain,54.43499755859375,24.4188232421875
76,77,فندق كمفورت ان الامارات,COMFORT INN EMIRATES HOTEL,54.38817215,24.45957756,TL11024,Hotel,مؤسسة فردية,Sole Proprietorship,16-Jan-13,40559.0,41654.0,97126506600.0,97126506606.0,508253659.0,,nicolebdonato@comfortinnuae.com,ابوظبي - شارع المرور ,52957,أبوظبي,Abu Dhabi,54.388427734375,24.4598388671875
77,78,فندق جميرا في أبراج الاتحاد,JUMAIRAH HOTEL AT ETIHAD TOWERS,54.32171249,24.45887566,TL11193,Hotel,مؤسسة فردية,Sole Proprietorship,30-Mar-13,40632.0,41727.0,97128115555.0,97128115588.0,566820226.0,,stephanie.timsit@jumeirah.com,أبوظبي  - شارع الكورنيش - أبراج الاتحاد,111929,أبوظبي,Abu Dhabi,54.32183837890625,24.458984375
78,79,فندق المرفأ,AL Marfa Hotel ,54.37090874,24.4908371,TL08045,Hotel,مؤسسة فردية,Sole Proprietorship,9-Apr-13,38090.0,41737.0,97128833030.0,97128836400.0,502044902.0,,info@mirfahotel.com,ابوظبي - المنطقة الغربيه,77123,المنطقة الغربية,Western Region,54.37103271484375,24.49102783203125
79,80,موتيل دلما,DELMA MOTEL ,53.77527618,23.12442684,TL06184,Hotel,شركة مساهمة عامة,Public Joint Stock Company,30-Aug-10,33975.0,40784.0,97126220200.0,97126220911.0,502381199.0,,delma@delmacopsoc.ae,مدينة جزيرة دلما - بناية / جمعية دلما التعاونية,7376,أبوظبي,Abu Dhabi,53.775390625,23.1246337890625
80,81,,Crystal Salam Hotel,54.379996999999996,24.490783,,,,,,,,,,,,,,,,Abu Dhabi,54.38018798828125,24.49102783203125
81,82,,Hili Rayhaan,55.748777999999994,24.218503,,,,,,,,,,,,,,,,Al Ain,55.7490234375,24.2186279296875
82,83,,Nehal Hotel,54.373633,24.497418999999997,,,,,,,,,,,,,,,,Abu Dhabi,54.37384033203125,24.49761962890625
83,84,,Novotel Gate Hotel,54.517644,24.395903,,,,,,,,,,,,,,,,Abu Dhabi,54.517822265625,24.39599609375
84,85,,Novotel Hotel Al Bustan,54.428861,24.429783,,,,,,,,,,,,,,,,Abu Dhabi,54.42901611328125,24.42999267578125
85,86,,Sofitel Abu Dhabi Corniche,54.367602999999995,24.499467,,,,,,,,,,,,,,,,Abu Dhabi,54.3677978515625,24.4996337890625
86,87,,St.Regis Saadiyat Island Resort,54.424724999999995,24.538522,,,,,,,,,,,,,,,,Abu Dhabi,54.4248046875,24.53863525390625
87,88,,Ayla Hotels LLC,55.743638999999995,24.228521999999998,,,,,,,,,,,,,,,,Al Ain,55.74383544921875,24.2286376953125
88,89,,Center Ville Hotel,54.493066999999996,24.349631,,,,,,,,,,,,,,,,Abu Dhabi,54.49322509765625,24.34979248046875
89,90,,Centro Capital Center,54.441030999999995,24.417942,,,,,,,,,,,,,,,,Abu Dhabi,54.44122314453125,24.418212890625
90,91,,Centro Hotel Al Manhal,54.373231,24.468061,,,,,,,,,,,,,,,,Abu Dhabi,54.3734130859375,24.46820068359375
91,92,,Dusit Thani Abu Dhabi Hotel,54.394858,24.455647,,,,,,,,,,,,,,,,Abu Dhabi,54.39501953125,24.455810546875
92,93,,Easter Mangrove Hotel and Spa,54.438756,24.446153,,,,,,,,,,,,,,,,Abu Dhabi,54.43902587890625,24.4464111328125
93,94,,Emirates Park Resort,54.647872,24.559078,,,,,,,,,,,,,,,,Abu Dhabi,54.64801025390625,24.5592041015625
94,95,,IBIS Gate Hotel,54.518322,24.395975,,,,,,,,,,,,,,,,Abu Dhabi,54.5184326171875,24.396240234375
95,96,,One to One Hotel and Resort,54.387955999999996,24.475389,,,,,,,,,,,,,,,,Abu Dhabi,54.38800048828125,24.4755859375
96,97,,Park Hyatt Abu Dhabi Hotel,54.434844,24.545139,,,,,,,,,,,,,,,,Abu Dhabi,54.43499755859375,24.54541015625
97,98,,Premier Inn Hotels,54.369946999999996,24.462367,,,,,,,,,,,,,,,,Abu Dhabi,54.3699951171875,24.46240234375
98,99,,Royal Rose Hotel,54.365697,24.496408,,,,,,,,,,,,,,,,Abu Dhabi,54.36578369140625,24.49658203125
99,100,,Ritz Carlton Abu Dhabi,54.484986,24.412088999999998,,,,,,,,,,,,,,,,Abu Dhabi,54.4852294921875,24.4122314453125
100,101,,The Royal Internation Hotel,54.371002999999995,24.498293999999998,,,,,,,,,,,,,,,,Abu Dhabi,54.3712158203125,24.4984130859375
101,102,,The Westin Abu Dhabi,54.528192,24.420294,,,,,,,,,,,,,,,,Abu Dhabi,54.5284423828125,24.42041015625
102,103,,CASSELLS ALMAAMOURA HOTEL,54.388031,24.463335999999998,,,,,,,,,,,,,,,,Abu Dhabi,54.38818359375,24.46343994140625
103,104,,Rosewood Abu Dhabi Hotel Apartments,54.387139,24.500178,,,,,,,,,,,,,,,,Abu Dhabi,54.38720703125,24.50042724609375
