,OBJECTID,NAMEENG,NAMEAR,CF_PHONE,CF_EMAIL,CF_FAX,CF_POBOX,FACILITYTYPE,FACILITYSUBTYPE,CLASS,HR24,OPENINGHR,CATEGORY,GRADE,SELFREPORTEDSCORECARD,CONCERNSAREA,CONFISCATIONDESTRUCTION,longitude,latitude
112,113,NAWAF PHARMACY,صـيدلية نـــواف,03-7616137,nawafpharmacy@gmail.com,3-7616343,89368,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.68825912,24.243394850000016
113,114,NEIMA PHARMACY,صـيدلية نعمــة,03-7684840,neimapharm@yahoo.com,3-7684840,16295,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.62752341999999,24.184762949999993
114,115,AL RAHA HOSPITAL PHARMACY LLC,صيدلية مستشفى الراحة ذ.م.م,02-6330440,majid@alrahahospital.com,2-6312601,8119,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.36997222999997,24.489532469999972
115,116,AL RUWAIS PHARMACY,صيدلية الرويــس,02-8774367,yabacker@yahoo.co.in,2-8775311,12203,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,52.64543151999999,24.08464527000001
116,117,AL SALAMA HOSPITAL PHARMACY INPATIENT L.L.C,صيدلية مستشفى السلامة الدخلية ذ.م.م,(971)-2-6711440,haadsec@alsalamahospital.com,(971)-2-6711330,46266,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.37631988999999,24.499420170000008
117,118,AL SENAEYA PHARMACY,صـيدلية الصنــاعية,03-7657105,tourani@emirates.net.ae,3-7668619,14063,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.77330589000002,24.22066307
118,119,AL SHIFAA PHARMACY,صـيدلية الشفــاء,03-7641418,alshifaph@yahoo.com,3-7648611,1021,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.769350050000014,24.221641540000007
119,120,ALAHLYA GRAND PHARMACY,صيدلية جراند الاهلية,02-4498379,brothers_pharmacy@yahoo.com,2-4498382,130736,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.40180587999998,24.44697474999998
120,121,ALIYA PHARMACY L.L.C,صيدلية علياء ذ.م.م,(971)-2-6341327,aliya_pharmacy@yahoo.com,(971)-2-6228310,8189,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36097526999998,24.485401149999973
121,122,ALMANARA PHARMACY - YAS MALL,صيدلية المنارة - ياس مول,02-6814644,safia@sinamed.ae,2-6814645,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.60882700000002,24.488796999999977
122,123,ALMANARA PHARMACY ALMUROOR,صيدلية المنارة المرور,02-4416011,aneermen@hotmail.com,2-6263010,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.43906800000002,24.433952999999974
123,124,MEDICLINIC HOSPITALS  L.L.C - BRANCH2 - INPATIENT PHARMACY,مستشفيات ميديكلينيك ذ.م.م - فرع2 - الصيدلية الداخلية,(971)-2-4066933,Bernil.Salarda@Mediclinic.ae,(971)-2-5598419,48481,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.461635590000014,24.417179110000006
124,125,ARZANA PHARMACY,صـيدلية ارزنـــة,03-7556181,arzanapharmacy@yahoo.com,3-7556179,13850,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.74516677999998,24.218834879999974
125,126,Acacia pharmacy,صيدلية اكاسيا,03-7666415,rabuazab@yahoo.com,3-7666442,69252,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.75900268999999,24.22448730000002
126,127,BANGASH PHARMACY - LLC,صيدلية بنكش ذ م م,02-5834217,farhan2001ae@yahoo.com,2-5834517,55687,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.64797973999998,24.28251266000001
127,128,BOOTS AL MUROUR PHARMACY,صيدلية بووتس المرور,(971)-2-6958269,kayed.elsaadi@alshaya.com,(971)-4-4534083,1277,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.439754489999984,24.433779720000018
128,129,BURJEEL HOSPITAL IN-PATIENT PHARAMCY,صيدلية مستشفى برجيل الداخلية,02-2222366,saad.lifeline@vpshealth.com,2-2222366,7400,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.380855999999994,24.479467999999997
129,130,BURJEEL PHARMACY L.L.C - BRANCH 6,صيدلية برجيل ذ.ذ.م - فرع 6,02-2222366,saad.lifeline@vpshealth.com,2-2222363,73048,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.374277000000006,24.471765000000005
130,131,Babil Pharmacy L.L.C,صيدلية بـابـل ذ.م.م,(971)-2-6397800,pr@sehauae.com,(971)-2-6397789,42528,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.368249890000016,24.491573329999994
131,132,DIALYSIS CENTER PHARMACY,صيدلية مركز غسيل الكلى,03-7074605,mabumandil@seha.ae,3-7075210,15258,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,55.65089999999998,24.196199999999976
132,133,SUHAIL PHARMACY,صـيدلية ســهيل,3-7321588,suhailpharmacyalain@gmail.com,3-7321588,16731,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.74400902000002,24.588876719999973
133,134,SUMER PHARMACY,صيدلية سومر,02-5636309,sumerpharmacy@gmail.com,2-5636312,45183,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.677072529999975,24.638254169999982
134,135,UNIVERSAL HOSPITAL PHARMACY L L C - BRANCH 3,صيدلية مستشفى يونيفيرسال ذ م م - فرع 3,02-5558674,haad@universalhospitals.com,2-5535013,5056,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.50205399999999,24.36658799999998
135,136,VIVID PHARMACY LLC,صيدلية فيفيد ذ م م,02-5546259,vividpharmacyllc@gmail.com,2-5546730,90862,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.53629699999999,24.34030200000001
136,137,ZANBAQ AL MADINA PHARMACY L.L.C,صيدلية زنبق المدينة ذ.م.م,(971)-2-5504333,hr.mammc@gmail.com,(971)-2-5504331,94100,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.48958699999997,24.34571599999998
137,138,NOOR ALAHLI PHARMACY - BRANCH 2,صيدلية نور الاهلي - فرع 2,(971)-2-5522309,noorpharmacybr2@ahaliagroup.ae,(971)-2-5530658,2419,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.530077000000006,24.34343899999999
138,139,OASIS HOSPITAL PHARMACY,صـيدلية مسـتشفى الواحــة,(971)-2-7131111,govrelations@oasishospital.org,(971)-2-7131111,1016,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,55.75986481000001,24.206824299999994
139,140,SARHAD PHARMACY,صيدلية سرحد,02-5551429,sarhad.pharmacy@yahoo.com,2-6428820,8698,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.519135000000006,24.377354000000025
140,141,GULF DIAGNOSTIC CENTRE HOSPITAL PHARMACY -W L L,صـيدلية مستشفى مركـز الخلـيج للتشخيص - ذ.م.م,2-6658084,imran.ghulam@gdc-hospital.com,2-4177222,30702,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.36351013000001,24.44657516000001
141,142,HEALTH FIRST PHARMACY - BRANCH 15,صيدلية هيلث فيرست - فرع 15,(971)-2-6219720,ahmedwahabaly@planetme.ae,(971)-2-6219720,9690,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.620925,24.312680999999998
142,143,HEALTH FIRST PHARMACY -BRANCH 8,صيدلية هيلث فيرست - فرع 8,02-5822180,nourramadan@planetme.ae,2-5822170,9690,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.62912560000001,24.296636579999983
143,144,HOME HEALTH PHARMACY,صـيدلية بيت الصـحة,(971)-3-7630025,imran@peaceworldgroups.com,(971)-3-7631233,1885,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.72139168000001,24.236783979999984
144,145,IBN RUSHD PHARMACY LLC,صــيدلية ابن رشـــد ذ م م,(971)-2-4457727,hhosari@hotmail.com,(971)-2-4459299,53705,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.379402159999984,24.461725230000013
145,146,IBN SINA PHARMACY L.L.C. - BRANCH 3,صيدلية ابن سينا ذ.م.م - فرع 3,02-5562140,bsp.khcity@akigroup.com,2-5562142,4236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.56602478000002,24.419633869999984
146,147,INPATIENT PHARMACY/CAMBRIDGE MEDICAL AND REHABILITATION CENTER –BRANCH 1,الصيدلية الداخلية لمركز كامبريدج للطب وإعادة التأهيل / فرع 1,(971)-2-5104100,daoud@cmrc.ae,(971)-2-5104101,222279,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.63716699999998,24.35091799999998
147,148,SHEIKH KHALIFA MEDICAL CITY ER PHARMACY,صيدلية الطوارىء لمدينة الشيخ خليفة الطبية,2-8192180,ryoussif@skmc.ae,2-8192135,51900,Pharmacy,24 Hr Pharmacy,Public,Yes,,,,,,,54.366596000000015,24.469670000000008
148,149,LULU KHALIDIYAH PHARMACY -L.L.C.,صيدلية خالدية اللولو - ذ م م,02-6354440,haadpf1484@gmail.com,2-6354441,129125,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.351665500000024,24.47010707999999
149,150,LUMIERE PHARMACY L.L.C - BRRANCH 1,صيدلية لوميير ذ م م - فرع 1,02-6788111,katrina.cruz@lumiereclinic.com,2-4455450,34027,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.67092600000001,24.523678000000018
150,151,ADCO MEDICAL CENTRE PHARMACY,صيدلية مركز أدكو الطبي,02-6043080,aalmarshoodi@adnoc.ae,2-6043080,270,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,54.34374236999997,24.473516459999985
151,152,AIN AL KHALEEJ HOSPITAL IN PATIENT PHARMACY,صيدلية مستشفى عين الخليج الداخلية,03-7133333,hospalkhal@gmail.com,3-7133300,88206,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,55.72427800000003,24.245965000000012
152,153,AL AFDAL PHARMACY,صيدلية الأفضل,02-6788588,alafdal.pharmacy@yahoo.com,2-6788256,131465,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37311362999998,24.492479319999973
153,154,AL AHLI HOSPITAL COMPANY LLC - BRANCH 1 INPATIENT PHARMACY,شركة المستشفي الأهلي ذ م م - فرع 1 صيدلية المرضي الداخلية,02-8119119,ahaliamed@emirates.net.ae,2-8119119,2419,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.524249,24.362850999999978
154,155,AL AHRAM PHARMACY,صـيدلية الأهـرام,02-6795199,alahram@mail.com,2-6795199,43236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36756516000003,24.497243879999985
155,156,AL AIN CROMWELL PHARMACY,صيدلية العين كرومويل,03-7990000,haad@alaincromwell.com,3-7990000,222088,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.564160000000015,24.232597999999996
156,157,AL AIN FERTILITY CENTER PHARMACY LLC,صيدلية مركز العين للاخصاب ذ.م.م,03-7024005,Sdaldayeh@yahoo.co.uk,3-7024044,253,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,55.72242499999999,24.246160999999972
157,158,AL BARZA PHARMACY,صـيدلية الـبرزة,02-6659172,albarza_pharmacy@hotmail.com,2-6663127,108940,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.354028700000015,24.476284029999988
158,159,AL FURQAN PHARMACY,صيدلية الفرقان,(971)-2-6440277,alfurqan-ph@hotmail.com,(971)-2-6440077,4048,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.384473000000014,24.48978699999998
159,160,AL HUDA PHARMACY,صـيدلية الهــدى,03-7224046,al_huda_pharmacy@yahoo.com,3-7224046,80674,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.75533485,24.194093699999996
160,161,AL MAARED PHARMACY,صيدلية المعيرض,(971)-2-0000000,almaaredpharmacy@gmail.com,(971)-2-0000000,93148,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.52187300000003,24.359583999999984
161,162,AL MANARA PHARMACY - BRANCH 6,صيدلية المنارة - فرع 6,02-6664332,afrah@delta-uae.com,2-6664326,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.43465800000001,24.522493999999995
162,163,AL MANARA PHARMACY-KHALIFA CITY,صيدلية المناره-مدينة خليفة,02-6814644,safia@sinamed.ae,2-6814645,3084,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.575612999999976,24.40069299999999
163,164,AL NADA PHARMACY,صـيدلية النـدى,02-6426477,pharmacyalnada@gmail.com,2-6428820,26994,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.49196243,24.349644660000024
164,165,AL NAHDA PHARMACY L L C,صيدلية النهضة - ذ.م.م,02-6333307,ghifar@hotmail.com,2-6343678,54620,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.353965759999994,24.487358089999987
165,166,AL NASR PHARMACY - LLC,صيدلية النصر - ذ م م,03-7655771,nasrpharmacy@gmail.com,3-7656770,1468,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.772363659999996,24.221725460000016
166,167,AL NIYADAT HEALTHCARE CENTER PHARMACY,صيدلية مركز النيادات الصحي,(971)-3-7461607,ahs@seha.ae,(971)-3-7461025,111355,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,55.790111000000024,24.213977
167,168,AL NOOR HOSPITAL PHARMACY - MARAWAH,صيدلية مستشفى النور - مروح,(971)-2-4066933,yazankhabbaz@gmail.com,(971)-2-5598419,46713,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,52.25778200000002,23.970017999999982
168,169,MEDEOR 24X7 HOSPITAL IN-PATIENT PHARMACY,صيدلية مستشفى ميديور 7X24 الداخلية,02-2222336,saad.lifeline@vpshealth.com,2-2222336,94666,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.369845,24.480381000000023
169,170,LIFE CARE INTERNATIONAL PHARMACY L.L.C.,صيدلية لايف كير العالمية ذ.م.م,(971)-2-2222366,saad.lifeline@vpshealth.com,(971)-2-2222366,47166,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.626510619999976,24.252505299999996
170,171,MEDEOR INTERNATIONAL PHARMACY L.L.C.,صيدلية ميديور انترناشيونال ذ.م.م,03-2222222,saad.lifeline@vpshealth.com,3-2222222,94666,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.663928,24.225107999999977
171,172,LLH HOSPITAL AL MUSAFFAH IN-PATIENT PHARMACY,صيدلية مستشفى ال ال اتش المصفح الداخلية,02-2222366,saad.lifeline@vpshealth.com,2-2222366,94666,Pharmacy,Inpatient Pharmacy,Private,Yes,,,,,,,54.516389000000004,24.37873400000001
172,173,LLH HOSPITAL PHARMACY L.L.C,صيدلية مستشفى ال ال اتش ذ م م,(971)-2-2222366,saad.lifeline@gmail.com,(971)-2-2222366,94666,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.36489104999998,24.487705230000017
173,174,MEDICINA ALFALAH PHARMACY,صيدلية ميديسينا الفلاح,02-6262665,amro.abbas@pharmalink.ae,2-6261608,41412,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.739795000000015,24.443495999999982
174,175,MEDICINA PHARMACY - BRANCH 10,صيدلية ميديسينا - فرع 10,(971)-2-3042091,amro.abbas@pharmalink.ae,(971)-2-6261608,41412,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.59053899999998,24.411576000000025
175,176,MEDICINE PLUS PHARMACY L.L.C,صيدلية مدسن بلس ذ.م .م,(971)-2-0000000,medicineplus2020@gmail.com,(971)-2-0000000,113864,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37838744999999,24.47261715000002
176,177,MEDICLINIC PHARMACY - ALAIN,صيدلية ميديكلينيك - العين,(971)-3-7667666,naser.othman@alnoorhospital.com,(971)-3-7647479,14444,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.768020630000024,24.222841259999996
177,178,MUBARAK PHARMACY,صـيدلية مبــارك,(971)-3-7642978,m.medicalcentre@yahoo.com,(971)-3-7642972,15488,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.765392299999974,24.222904210000024
178,179,MYZYAD PHARMACY,صـيدلية مــزيد,(971)-3-7635444,ajmawi@yahoo.com,(971)-3-7829188,66986,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.73658752,24.20161343000001
179,180,AL RAHMA PHARMACY,صـيدلية الرحـمة,(971)-2-6343495,alrahmaphy@yahoo.com,(971)-2-6343458,35591,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.358312609999984,24.479738240000017
180,181,AL SAADA PHARMACY,صـيدلية السـعادة,02-6278313,alsaadapharmacy@yahoo.com,2-6278313,126835,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.3763237,24.493380549999983
181,182,AL YARMOUK PHARMACY L.L.C.,صيدليه اليرموك. ذ.م.م,02-6424061,alyarmoukpharmacyllc@gmail.com,2-6424061,33552,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.372169489999976,24.478278160000002
182,183,ALAIN PHARMACY - (LLC) - BRANCH 5,صيدلية العين - ذات مسئولية محدودة - فرع 5,(971)-3-7669919,m.nazzal@alain-pharmacy.com,(971)-3-7669918,1667,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.701254000000006,24.11068899999998
183,184,AMBASSADOR PHARMACY,صـيدلية  امبـاسـادور,02-6337993,pharmacyambassador@gmail.com,2-6315660,974,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36771011000002,24.488656040000023
184,185,ARABIAN PHARMACY WLL,الصـيدلية العــربية  ذ.م.م,2-6669620,arabianpharmacy1@gmail.com,2-6666041,2068,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36024857000001,24.46235274999998
185,186,ASTER PHARMACIES GROUP LLC - BRANCH OF ABU DHABI 1,مجموعة صيدلية استر ش ذ م م - فرع ابوظبي 1,02-6437625,pr@asterpharmacy.com,2-6437625,91092,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.371365000000026,24.47888999999998
186,187,ASTER PHARMACY LLC,صيدلية استر ذ م م,(971)-2-5529395,farmacia@asterpharmacy.com,(971)-2-5529397,96078,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.530315400000006,24.342834470000014
187,188,AVENUE PHARMACY,صيدلية أفنيو,03-7214443,alharmodi@gmail.com,3-7212255,66665,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.67764090999998,24.19738196999998
188,189,Al Zia Pharmacy - L.L.C,صـيدلية الضـــياء - ذ م م,02-5522201,drzia67@yahoo.com,2-5522205,13111,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.531358720000014,24.324125289999984
189,190,BAIN AL QASRAIN PHARMACY,صيدلية بين القصرين,02-4469300,amro.abbas@pharmalink.ae,2-6261608,41412,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.43633599999998,24.418153000000018
190,191,BETTER LIFE PHARAMCY L.L.C.,صيدلية الحياة السعيدة - ذ.م.م,02-6262666,ahaliamed@emirates.net.ae,2-6267828,2419,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.35515785000001,24.48894118999999
191,192,BOOTS ABU DHABI MALL PHARMACY,صيدلية بووتس أبوظبي مول,02-6958119,kayed.elsaadi@alshaya.com,2-4437167,1277,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.38268799999997,24.495765000000006
192,193,BOOTS DALMA MALL PHARMACY,صيدلية بووتس دلما مول,(971)-2-6120780,kayed.elsaadi@alshaya.com,(971)-4-4534083,1277,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.52350200000001,24.33376099999998
193,194,BURJEEL HOSPITAL PHARMACY LLC - BRANCH 1,صيدلية مستشفى برجيل ذ.م.م - فرع 1,02-2222366,saad.lifeline@vpshealth.com,2-2222366,94666,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.380855,24.479381999999987
194,195,BURJEEL PHARMACY AL MARINA LLC,صيدلية برجيل المارينا ذ.م.م,02-2222366,saad.lifeline@vpshealth.com,2-2222366,94666,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.31943100000001,24.476908999999978
195,196,BURJEEL PHARMACY L.L.C-BRANCH 2,صيدلية برجيل ذ.م.م-فرع 2,(971)-2-2222366,saad.lifeline@vpshealth.com,(971)-2-2222366,94666,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.53790855,24.37315368999998
196,197,CITY TAWAM PHARMACY,صيدلية مدينة توام,03-7676530,francis_uae@hotmail.com,3-7676530,16731,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.64638518999999,24.193016049999983
197,198,COUNTRY PHARMACY,صـيدلية البلـد,02-6441840,COUNTRYPHARMACYAD@GMAIL.COM,2-6448798,53820,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.37915039000001,24.49516772999999
198,199,DAR AL SHIFAA PHARMACY L.L.C,صـيدلية دار الشفــاء ذ.م.م,(971)-2-6900900,hr@daralshifaa.net,(971)-2-6416669,2519,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.381599429999994,24.478459359999988
199,200,ELYZEE PHARMACY LLC,صيدليه إليزيه ذ.م.م,(971)-2-5664299,sikendar@elyzeemc.com,(971)-2-6672065,62932,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.336145999999985,24.458229000000017
200,201,SEA CITY PHARMACY,صيدلية بحر المدينة,02-5516801,seacitypharmacy@gmail.com,2-5528801,8745,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.485184000000004,24.36054999999999
201,202,SHEIKH KHALIFA MEDICAL CITY PHARMACY - INPATIENT,صيدلية مدينة الشيخ خليفة الطبية,02-8190000,ryoussif@skmc.ae,2-6102000,51900,Pharmacy,Inpatient Pharmacy,Public,Yes,,,,,,,54.36476517,24.468635559999996
202,203,SMART PHARMACY - L L C,صيدلية الذكي ذ م م,(971)-2-5592461,smtpharmacy@gmail.com,(971)-2-5592460,31986,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.53296852,24.327590939999993
203,204,SOFITEL PHARMACY,صيدلية سوفيتل,03-7676439,info@alain-pharmacy.com,3-7672439,1667,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.65727234000002,24.19757462000001
204,205,THE AMERICAN SURGECENTER PHARMACY L.L.C.,صيدلية المركز الأمريكي الجراحي ذ.م.م.,(971)-2-4430909,kastoun@hotmail.com,(971)-2-4433415,93880,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.36338805999998,24.46005439999999
205,206,THUHFA AL ANDALUS PHARMACY OWNED BY JABER JASEM ALMHEIRI - SOLE PROPRIETORSHIP L.L.C.,صيدلية تحفة الاندلس لمالكها جابر جاسم المهيري - شركة الشخص الواحد ذ م م,02-5522262,hrmc10@gmail.com,2-5531333,30520,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.53473853999998,24.327056879999986
206,207,YATEEM PHARMACY,صيدلية يتيم,02-6666571,amrhelmi@yateemeye-center.ae,2-6665038,929,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.560316,24.398245999999972
207,208,ZAMZAM PHARMACY,صـيدلية زمــزم,(971)-3-7215554,zamzam2_pharmacy@yahoo.com,(971)-3-7215133,17441,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.76430511000001,24.191530230000012
208,209,NEW AL AIN PHARMACY - L L C,صـيدلية العـين الجـديدة - ذ م م,(971)-3-7554440,m.nazzal@alain-pharmacy.com,(971)-3-7554414,1667,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,55.73090172000002,24.224021909999976
209,210,NEW LAND MARK PHARMACY,صيدلية لاند مارك الجديدة,02-6316886,nlm20012@rediffmail.com,2-6316882,46333,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.35922622999999,24.486349109999992
210,211,NEWCASTLE PHARMACY,صيدلية نيوكاسل,(971)-2-5837123,nasir@newcastle.ae,(971)-2-5530341,3607,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.63465600000001,24.34722499999998
211,212,OASIS HOSPITAL OUTPATIENT PHARMACY,صيدلية مستشفى الواحة الخارجية,03-7131102,govrelations@oasishospital.org,3-7131044,1016,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,55.75982299999998,24.206732999999986
212,213,BURJEEL PHARMACY L.L.C - BRANCH 11,صيدلية برجيل ذ.ذ.م - فرع 11,(971)-2-2222366,saad.lifeline@vpshealth.com,(971)-2-2222336,51523,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.565635680000014,24.420801159999996
213,214,RASHED PHARMACY,صيدلية راشد,03-7645338,reshi134@hotmail.com,3-7646323,65098,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.77639389000001,24.216382029999977
214,215,SADD MAAREB PHARMACY,صـيدلية ســد مــــأرب,02-5832520,sajidchemist101@yahoo.com,2-5833266,11535,Pharmacy,24 Hr Pharmacy,Private,Yes,,,,,,,54.63508034,24.29187965
215,216,SAS AL-NAKHAL  PHARMCY,صيدلية  ساس النخل,02-7071725,mfabdulla@adnoc.com,2-6664739,898,Pharmacy,Outpatient Pharmacy,Public,No,,,,,,,54.50419998000001,24.419481280000014
216,217,HANADI PHARMACY,صـيدلية هنــادي,(971)-3-7351400,hanadyphy1993@gmail.com,(971)-3-7351400,21725,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,55.56506347999999,23.639353749999998
217,218,HEALTH FIRST PHARMACY - BRANCH 12,صيدلية هيلث فيرست - فرع 12,02-6746989,nourramadan@planetme.ae,2-6745579,9690,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.71671600000002,24.446307999999988
218,219,HEALTH FIRST PHARMACY - BRANCH 7,صيدلية هيلث فيرست - فرع 7,04-2955013,nourramadan@planetme.ae,2-4494209,9690,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.45204163,24.42326355
219,220,HEALTH FIRST PHARMACY- BRANCH 9,صيدلية هيلث فيرست - فرع 9,02-5577611,nourramadan@planetme.ae,2-5577622,9690,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.574161530000026,24.438938140000005
220,221,HEALTH TIME PHARMACY,صيدلية هيلث تايم,(971)-2-0000000,aljasari.07@hotmail.com,(971)-2-0000000,1111,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.62966799999998,24.259566000000007
221,222,HEALTHWAY PHARMACY,صيدلية  هيلث  واي,02-5521249,wajdi.healthway@gmail.com,2-5524129,148711,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.63037000000003,24.297518000000025
222,223,GHIYATHI PHARMACY,صـيدلية غيــاثي,(971)-2-8741797,gayapharma@yahoo.com,(971)-2-8741797,77637,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,52.80978775,23.842798230000028
223,224,IBN SINA PHARMACY L.L.C. - BRANCH 12,صيدلية ابن سينا ذ.م.م - فرع 12,02-6585203,bsp.paragon@akigroup.com,2-6215970,4236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.39417900000001,24.491105000000005
224,225,IBN SINA PHARMACY L.L.C. - BRANCH 15,صيدلية ابن سينا ذ.م.م - فرع 15,02-5651587,shorouq.h@akigroup.com,2-5651584,4236,Pharmacy,Outpatient Pharmacy,Private,No,,,,,,,54.73980799999998,24.458217999999988
