,OBJECTID,NAMEENG,NAMEAR,CF_PHONE,CF_EMAIL,CF_FAX,CF_POBOX,CF_URL,FACILITYTYPE,FACILITYSUBTYPE,NUMBERBEDS,SPECIALITY,DAYSURG,CLASS,HR24,EMERGDEPT,OPENINGHR,NUMBERPARK,EMERGDEPTNUM,SINGLEBEDROOM,CONSULTANTNUM,SPECIALITYNUM,GPNUM,NURSENUM,XRAY,CTSCAN,MRI,SONOGRAPHY,longitude,latitude
92,93,DR SALIHA DENTAL CLINIC L.L.C.,عيادة الدكتورة صليحة للاسنان ذ.م.م,03-7557643,saliha-ayad@hotmail.com,3-7688198,1333,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,0,No,No,No,No,55.76519999999999,24.227199999999982
93,94,Doctor Abdallah Azzam  Paediatric Clinic LLC,عيادة الدكتور عبد الله عزام لطب الأطفال - ذ.م.م,02-6344185,azzam5@emirates.net.ae,2-6344182,93563,,Clinic,Specialized Medical Clinic,,0,fasle,Private,No,,,0,,0,2,0,0,0,No,No,No,No,54.35531666999998,24.479899999999986
94,95,BEAUTICA DENTAL CLINIC - SOLE PROPRIETORSHIP L.L.C.,عيادة بيوتيكا للاسنان - شركة الشخص الواحد ذ م م,026655236,lio.map123@gmail.com,26655236,60203,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,0,No,No,No,No,54.362138000000016,24.488560000000007
95,96,Dubai Smile Dental Clinic L.L.C - Branch 1,عيادة ابتسامة دبي لطب الاسنان ذ.م.م - فرع 1,(971)-2-6433577,shagran75@yahoo.com,(971)-2-6650555,65961,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,4,1,No,No,No,No,54.38940000000002,24.47289999999998
96,97,AL AWADA CLINIC FOR UROLOGY  & INFERTILITY L L C,عيادة العوده للمسالك البوليه والعقم ذ م م,(971)-3-7511958,dr.ayyad@yahoo.com,(971)-3-7511958,14175,,Clinic,Specialized Medical Clinic,,1,fasle,Private,No,,,0,,0,0,1,0,0,No,No,No,No,55.76729999999998,24.221900000000005
97,98,CORAL DENTAL CLINIC,عيادة كورال للاسنان,(971)-3-7370047,coraldental16@gmail.com,(971)-3-7803480,24141,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,2,1,No,No,No,No,55.63145609999998,24.213778900000023
98,99,COSMEDICS MEDICAL CENTER FOR SKIN AND DENTAL,مركز كوزميدكس الطبي للجلدية وطب الأسنان,02-5544321,wasimkanakria@gmail.com,2-4130001,2552,,Clinic,Specialized Medical Clinic,,1,fasle,Private,No,,,0,,0,0,1,1,1,No,No,No,No,54.57209999999998,24.431399999999996
99,100,CONSOLIDATED CONTRACTORS INTERNATIONAL COMPANY CLINIC,عيادة  شركة اتحاد المقاولين العالمية,(971)-2-6276500,hkelliny@ccc.net,(971)-2-6276400,224,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,4,No,No,No,No,54.35899999999998,24.489800000000002
100,101,DR. FAIZ HADDAD CLINIC,عيادة الدكتور  فائز حداد,(971)-2-6271299,h3haddad@emirates.net.ae,(971)-2-6270493,5108,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,0,No,No,No,No,54.36059999999998,24.48829999999998
101,102,DR. GHALEB KHALAILI PEDIATRIC CLINIC,عيادة الدكتور غالب خلايلي لطب الاطفال,(971)-3-7666998,g_khalayli@yahoo.com,(971)-3-7663998,17285,,Clinic,Specialized Medical Clinic,,1,fasle,Private,No,,,0,,0,0,1,0,0,No,No,No,No,55.76850000000002,24.224800000000016
102,103,DR. OMER AL ATRASH CLINIC,عيادة الدكتور عمر الأطرش,(971)-2-6276644,omaralatrashdentalclinic@yahoo.com,(971)-2-6276601,45541,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,0,No,No,No,No,54.360900000000015,24.491300000000024
103,104,LIWA INTERNATIONAL SCHOOL CLINIC - LLC,عيادة مدرسة ليوا الدولية - ذ م م,(971)-3-7810444,info@liwaschool.com,(971)-3-7810544,81685,,Clinic,School Clinic,,0,fasle,Private,No,,,0,,0,0,0,2,1,No,No,No,No,55.710500000000025,24.19290000000001
104,105,ALDHWAA PRIVATE SCHOOL CLINIC,عيادة مدرسة الأضواء الخاصة,(971)-3-7828870,adwa@aladhwa-sch.net,(971)-3-7828836,64997,,Clinic,School Clinic,,0,fasle,Private,No,,,0,,0,0,0,0,1,No,No,No,No,55.725300000000004,24.20060000000001
105,106,THE BRITISH CLINIC,العيادة البريطانية,(971)-2-6771252,thebritishclinic@hotmail.com,(971)-2-6724171,47269,,Clinic,Specialized Medical Clinic,,1,fasle,Private,No,,,0,,0,0,1,0,2,No,No,No,No,54.36989999999997,24.494899999999973
106,107,VICTORY DENTAL MEDICAL CLINIC L.L.C.,عيادة النصر لطب الأسنان ذ.م.م,02-6262955,vdc102004@hotmail.com,2-6263155,47923,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,2,0,No,No,No,No,54.35789999999997,24.490200000000016
107,108,WAZIRUSTAN CLINIC,عيادة وزيرستان,(971)-2-8741400,cupids94@yahoo.com,(971)-2-8743227,12252,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,3,1,No,No,No,No,52.80849999999998,23.842399999999998
108,109,MAX CARE Medical Clinic,عيادة ماكس كير الطبي,02-5555097,abu_hmaid111@hotmail.com,2-5555188,12873,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,2,No,No,No,No,54.37206666999998,24.49705
109,110,KHYBER MEDICAL CLINIC,عيادة خيبر الطبية,(971)-2-8841524,khybermedc@gmail.com,(971)-2-8841512,294010,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,1,No,No,No,No,54.37483900000001,24.475932999999998
110,111,SOUTH ISLAND CLINIC,عيادة الجزيرة الجنوبية,(971)-2-6023150,mfabdulla@adnoc.com,(971)-2-6664739,892,,Clinic,General Medical Clinic,,0,fasle,Public,No,,,0,,0,0,0,1,2,No,No,No,No,54.36619400000001,24.497777999999983
111,112,ABU DHABI OIL COMPANY. LIMITED - JAPAN-  CLINIC,عيادة شركة  نفط أبوظبي المحدودة - اليابان,02-6087290,nakawa@adoc.ae,2-6663935,630,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,0,No,No,No,No,54.34280000000001,24.468799999999987
112,113,AL AMEERA DENTAL CLINIC L.L.C,عيادة الاميرة للاسنان ذ.م.م,2-6449566,ameeradc@outlook.com,2-6397887,51733,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,3,0,No,No,No,No,54.35980000000001,24.48610000000002
113,114,DABBAYIA CLINIC,عيادة الضبعية,02-7071275,mfabdulla@adnoc.ae,2-7071334,898,,Clinic,General Medical Clinic,,0,fasle,Public,No,,,0,,0,0,0,0,1,No,No,No,No,54.114125,24.306230000000028
114,115,AL NASEEB MEDICAL CLINIC,عيادة النصيب الطبية,(971)-3-7322611,alnaseebclinic@hotmail.com,(971)-3-7551794,21241,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,0,No,No,No,No,55.74029999999999,24.58929999999998
115,116,MARIAM MEDICAL CLINIC,عيادة مريم الطبية,(971)-2-6214626,ahmedsufyan60@yahoo.com,(971)-2-6322594,25935,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,3,3,No,No,No,No,54.36020000000002,24.485599999999977
116,117,BASHIRA SPECIALIZED MEDICAL CLINIC,عيادة بشيرة الطبية التخصصية,(971)-2-6219995,bashesmc@yahoo.com,(971)-2-6219975,8071,,Clinic,Specialized Medical Clinic,,0,fasle,Private,No,,,0,,0,1,0,0,1,No,No,No,No,54.367999999999995,24.491899999999987
117,118,DIAMOND DENTAL CLINIC,عيادةالماسة للأسنان,(971)-2-6763322,cdiamond@eim.ae,(971)-2-6780988,44989,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,3,0,No,No,No,No,54.372799999999984,24.495900000000006
118,119,RETAJ  DENTAL  CLINIC,عيادة ريتاج للاسنان,02-6334959,retajdentalclinic2010@gmail.com,2-6334960,32271,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,2,3,No,No,No,No,54.35730000000001,24.47980000000001
119,120,ROYAL SPECIALIZED DENTAL CLINIC,العيادة الملكية التخصصية لطب الاسنان,(971)-2-6323993,royalsdc@yahoo.com,(971)-2-6323582,39818,,Clinic,Specialized Dental Clinic,,1,fasle,Private,No,,,0,,0,0,1,0,0,No,No,No,No,54.3673,24.490599999999972
120,121,AL DHAHERI MEDICAL CLINIC,عيادة الظاهري الطبية,02-7656882,tourani@emirates.net.ae,2-7668619,15299,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,0,No,No,No,No,55.773300000000006,24.220700000000022
121,122,AL INSAAF MEDICAL CLINIC L.L.C.,عيادة الأنصاف الطبية ذ.م.م,(971)-3-7666458,ghafari379@hotmail.com,(971)-3-7666458,15698,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,1,No,No,No,No,55.7654,24.22109999999998
122,123,AL MAHDI MEDICAL CLINIC,عيادة المهدي الطبية,03-7666098,almahdimedicalclinic@hotmail.com,3-7666198,1751,,Clinic,Specialized Medical Clinic,,1,fasle,Private,No,,,0,,0,0,1,0,0,No,No,No,No,55.76310000000001,24.225799999999992
123,124,Dr. MOOPENS MEDICAL CLINIC LLC,عيادة دكتور موبانس الطبية ذ م  م,2-5557078,musaffa@asterclinics.com,2-5557776,91092,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,3,4,No,No,No,No,54.5102,24.374199999999973
124,125,INTERNATIONAL PRIVATE SCHOOL OF CHOUEIFAT LLC CLINIC,عيادة مدرسة الشويفات الدولية الخاصة ذ م م,(971)-2-4461444,iscad@sabis.net,(971)-2-4461048,7212,,Clinic,School Clinic,,0,fasle,Private,No,,,0,,0,0,0,0,1,No,No,No,No,54.38229999999999,24.455300000000022
125,126,Mayfair Medical Centre,مركز مايفير الطبي,02-6660899,ceo@omeirco.ae,2-6224333,109109,,Clinic,Specialized Medical Clinic,,2,fasle,Private,No,,,0,,0,0,2,0,2,No,No,No,No,54.35045500000001,24.462266
126,127,MOHAMMED ALMAHMOOD ORTHO-SPINE CONSULTATION CLINIC L L C,عيادة محمد المحمود الاستشارية لجراحة العظام والعمود الفقري ذ م م,03-7640361,oscc@eim.ae,3-7640362,24438,,Clinic,Specialized Medical Clinic,,0,fasle,Private,No,,,0,,0,1,0,0,1,No,No,No,No,55.77210000000002,24.221799999999973
127,128,EMIRATES STEEL INDUSTRIES CO. P.J.S (EMIRATES STEEL),شركة الامارات لصناعات الحديد ش.م.ع (حديد الامارات),(971)-2-4422758,bassem.alazawi@gmail.com,(971)-2-4422759,9022,,Clinic,General Medical Clinic,,0,fasle,Public,No,,,0,,0,0,0,1,2,No,No,No,No,54.47129699999999,24.321316669999987
128,129,AL SALAMA CLINIC - L L C,عيادة السلامة  - ذ م م,02-7655344,fufu.n.salama.dr55@gmail.com,2-7655341,16715,,Clinic,Specialized Medical Clinic,,1,fasle,Private,No,,,0,,0,0,1,0,1,No,No,No,No,55.77620000000002,24.216600000000028
129,130,ALDERA DENTAL CLINIC L L C,عيادة الديره لطب الاسنان ذ م م,(971)-3-7664757,deradental@eim.ae,(971)-3-7664565,14307,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,2,0,No,No,No,No,55.78019999999998,24.22289999999998
130,131,ALI MEDICAL CLINIC,عيادة علي الطبية,(971)-3-7666551,alimedicalalain@gmail.com,(971)-3-7652552,64423,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,1,No,No,No,No,55.76510000000002,24.221000000000004
131,132,AMANA SPECIALIZED MEDICAL CLINIC,عيادة أمانة التخصصية,(971)-2-6228660,tamemsaker@hotmail.com,(971)-2-6228662,114207,,Clinic,Specialized Medical Clinic,,1,fasle,Private,No,,,0,,0,0,1,0,1,No,No,No,No,54.350300000000004,24.48180000000002
132,133,ANSAM DENTAL CLINIC,عيادة أنسام للأسنان,02-6392299,ansamclinic@gmail.com,2-6341199,6485,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,2,0,No,No,No,No,54.36759999999998,24.48939999999999
133,134,BLOOMING BUDS NURSERY CLINIC,عيادة حضانة بلومنغ بدز,(971)-2-4918068,blooms68@eim.ae,(971)-2-4918069,60392,,Clinic,School Clinic,,0,fasle,Private,No,,,0,,0,0,0,0,1,No,No,No,No,54.37374299999999,24.434564000000023
134,135,INTERCONTINENTAL DENTAL CLINIC,عيادة انتركونتيننتال للاسنان,02-6665323,rajae@advdent.ae,2-6669153,4171,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,1,No,No,No,No,54.328599999999994,24.457299999999975
135,136,KAYA BEAUTY CLINIC - BRANCH 1,عيادة كايا للتجميل - فرع 1,(971)-3-7849554,hasana@kayame.net,(971)-3-7849558,13525,,Clinic,Specialized Medical Clinic,,1,fasle,Private,No,,,0,,0,0,1,0,1,No,No,No,No,54.57420000000002,24.43889999999999
136,137,KAYA SKIN CARE CLINIC- BRANCH 3-ABUDHABI MALL,عيادة كايا للعناية بالبشرة - فرع3- ابو ظبي مول,(971)-2-6435033,hasana@kayame.net,(971)-2-6435030,45514,,Clinic,Specialized Medical Clinic,,1,fasle,Private,No,,,0,,0,0,1,0,1,No,No,No,No,54.38330000000002,24.49599999999998
137,138,NATIONAL DENTAL CLINIC,العيادة الوطنية للاسنان,(971)-3-7654071,ndcal1978@gmail.com,(971)-3-7654071,24093,,Clinic,General Dental Clinic,,0,fasle,Private,No,,,0,,0,0,0,2,0,No,No,No,No,55.768399999999986,24.22120000000001
138,139,AL KARAMA MEDICAL CLINIC L.L.C,عيادة الكرامة الطبية ذ.م.م,(971)-2-5834988,naazsss54@yahoo.com,(971)-2-5834901,25693,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,1,1,No,No,No,No,54.63900000000001,24.29649999999998
139,140,DR. ALLISSAR KHOURY CLINIC,عيادة  الدكتورة  اليسار خوري,2-6275275,drkhoury@emirates.net.ae,2-6272827,45541,,Clinic,Specialized Medical Clinic,,1,fasle,Private,No,,,0,,0,0,1,0,1,No,No,No,No,54.360900000000015,24.491300000000024
140,141,DR. SABAH AL SAKBAN MEDICAL CLINIC,عيادة الدكتور صباح الصكبان,02-6330990,ssagban@eim.ae,2-6331002,7972,,Clinic,Specialized Medical Clinic,,1,fasle,Private,No,,,0,,0,0,1,0,1,No,No,No,No,54.367999999999995,24.491899999999987
141,142,AL DHAFRA PRIVATE SCHOOLS CLINIC,عيادة مدارس الظفرة الخاصة,(971)-2-5599883,dhafrasc@eim.ae,(971)-2-6108400,22351,,Clinic,School Clinic,,0,fasle,Private,No,,,0,,0,0,0,0,3,No,No,No,No,54.42700000000002,24.44240000000002
142,143,Leon Dental Center LLC,مركز ليون للاسنان ذ.م.م,(971)-2-6417600,leondentalcenter@gmail.com,(971)-2-6417470,27422,,Clinic,General Dental Clinic,,1,fasle,Private,No,,,0,,0,0,1,2,0,Yes,No,No,No,54.37461667000002,24.473716669999988
143,144,SARHAD MEDICAL CLINIC,عيادة سرحد الطبية,(971)-2-5544887,sayedmohammad@hotmail.com,(971)-2-5523388,8698,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,3,2,No,No,No,No,54.51650000000001,24.376199999999983
144,145,INFINTI CLINIC FOR GENERAL MEDICINE L.L.C.,عيادة انفنتي للطب العام ذ.م.م,02-8882622,infinti.clinic@gmail.com,2-8845354,50199,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,4,3,No,No,No,No,54.36483199999998,24.480732999999987
145,146,CLINIC DODSAL ENGINEERING AND CONSTRUCTION PTE LTD.- RUMAITHA BRANCH,عيادة دودسال انجينيرنغ اند كونستراكشن بي تي ئي ليمتد- فرع الرميثة,(971)-2-6129100,ahmed.ali@dodsaldxb.ae,(971)-2-6129250,701,,Clinic,General Medical Clinic,,0,fasle,Private,No,,,0,,0,0,0,0,1,No,No,No,No,54.32305600000001,24.065832999999998
146,147,AL ASRIA EYE CLINIC,عيادة العيون العصرية,03-7513939,eye@eye.ae,3-7510526,66296,,Clinic,Specialized Medical Clinic,,1,fasle,Private,No,,,0,,0,0,1,0,3,No,No,No,No,55.76010000000002,24.228099999999984
